playerTransformPositions: x = 9.459042, z = 15.52265 
playerTransformPositions: x = 9.435793, z = 15.50697 
playerTransformPositions: x = 9.415574, z = 15.49333 
playerTransformPositions: x = 9.391474, z = 15.47707 
playerTransformPositions: x = 9.364339, z = 15.45877 
playerTransformPositions: x = 9.347407, z = 15.44735 
playerTransformPositions: x = 9.318235, z = 15.42767 
playerTransformPositions: x = 9.300244, z = 15.41554 
playerTransformPositions: x = 9.272619, z = 15.3969 
playerTransformPositions: x = 9.252383, z = 15.38326 
playerTransformPositions: x = 9.228332, z = 15.36703 
playerTransformPositions: x = 9.2104, z = 15.35494 
playerTransformPositions: x = 9.189437, z = 15.3408 
playerTransformPositions: x = 9.164883, z = 15.32424 
playerTransformPositions: x = 9.142876, z = 15.30939 
playerTransformPositions: x = 9.115244, z = 15.29075 
playerTransformPositions: x = 9.09319, z = 15.27588 
playerTransformPositions: x = 9.072366, z = 15.26183 
playerTransformPositions: x = 9.048216, z = 15.24554 
playerTransformPositions: x = 9.023474, z = 15.22886 
playerTransformPositions: x = 9.004478, z = 15.21604 
playerTransformPositions: x = 8.981288, z = 15.2004 
playerTransformPositions: x = 8.953004, z = 15.18132 
playerTransformPositions: x = 8.929951, z = 15.16577 
playerTransformPositions: x = 8.907315, z = 15.15051 
playerTransformPositions: x = 8.886741, z = 15.13663 
playerTransformPositions: x = 8.862675, z = 15.12039 
playerTransformPositions: x = 8.837022, z = 15.10309 
playerTransformPositions: x = 8.815963, z = 15.08889 
playerTransformPositions: x = 8.788618, z = 15.07044 
playerTransformPositions: x = 8.772917, z = 15.05985 
playerTransformPositions: x = 8.745269, z = 15.0412 
playerTransformPositions: x = 8.722058, z = 15.02555 
playerTransformPositions: x = 8.697491, z = 15.00898 
playerTransformPositions: x = 8.670041, z = 14.99046 
playerTransformPositions: x = 8.646802, z = 14.97478 
playerTransformPositions: x = 8.619904, z = 14.95664 
playerTransformPositions: x = 8.601755, z = 14.9444 
playerTransformPositions: x = 8.582295, z = 14.93127 
playerTransformPositions: x = 8.557366, z = 14.91446 
playerTransformPositions: x = 8.538305, z = 14.9016 
playerTransformPositions: x = 8.511736, z = 14.88368 
playerTransformPositions: x = 8.492332, z = 14.87059 
playerTransformPositions: x = 8.469217, z = 14.855 
playerTransformPositions: x = 8.445037, z = 14.83869 
playerTransformPositions: x = 8.423351, z = 14.82407 
playerTransformPositions: x = 8.401917, z = 14.80961 
playerTransformPositions: x = 8.374134, z = 14.79087 
playerTransformPositions: x = 8.378728, z = 14.75345 
playerTransformPositions: x = 8.380662, z = 14.7377 
playerTransformPositions: x = 8.38463, z = 14.70538 
playerTransformPositions: x = 8.387822, z = 14.67939 
playerTransformPositions: x = 8.391241, z = 14.65154 
playerTransformPositions: x = 8.39429, z = 14.6267 
playerTransformPositions: x = 8.39794, z = 14.59697 
playerTransformPositions: x = 8.401227, z = 14.5702 
playerTransformPositions: x = 8.405552, z = 14.53498 
playerTransformPositions: x = 8.40834, z = 14.51227 
playerTransformPositions: x = 8.412134, z = 14.48138 
playerTransformPositions: x = 8.415688, z = 14.45244 
playerTransformPositions: x = 8.418853, z = 14.42666 
playerTransformPositions: x = 8.423287, z = 14.39054 
playerTransformPositions: x = 8.42594, z = 14.36894 
playerTransformPositions: x = 8.428926, z = 14.34462 
playerTransformPositions: x = 8.432358, z = 14.31667 
playerTransformPositions: x = 8.436239, z = 14.28505 
playerTransformPositions: x = 8.440277, z = 14.25217 
playerTransformPositions: x = 8.443203, z = 14.22834 
playerTransformPositions: x = 8.445885, z = 14.2065 
playerTransformPositions: x = 8.449254, z = 14.17906 
playerTransformPositions: x = 8.453342, z = 14.14576 
playerTransformPositions: x = 8.456108, z = 14.12324 
playerTransformPositions: x = 8.460301, z = 14.08909 
playerTransformPositions: x = 8.462914, z = 14.06781 
playerTransformPositions: x = 8.467271, z = 14.03233 
playerTransformPositions: x = 8.469754, z = 14.0121 
playerTransformPositions: x = 8.474073, z = 13.97693 
playerTransformPositions: x = 8.477762, z = 13.94689 
playerTransformPositions: x = 8.480512, z = 13.9245 
playerTransformPositions: x = 8.48402, z = 13.89592 
playerTransformPositions: x = 8.486979, z = 13.87182 
playerTransformPositions: x = 8.490273, z = 13.84499 
playerTransformPositions: x = 8.493696, z = 13.81712 
playerTransformPositions: x = 8.497969, z = 13.78232 
playerTransformPositions: x = 8.500439, z = 13.76221 
playerTransformPositions: x = 8.50377, z = 13.73508 
playerTransformPositions: x = 8.507352, z = 13.70591 
playerTransformPositions: x = 8.510921, z = 13.67684 
playerTransformPositions: x = 8.51573, z = 13.63767 
playerTransformPositions: x = 8.518312, z = 13.61665 
playerTransformPositions: x = 8.522751, z = 13.58049 
playerTransformPositions: x = 8.525447, z = 13.55853 
playerTransformPositions: x = 8.529854, z = 13.52263 
playerTransformPositions: x = 8.53302, z = 13.49685 
playerTransformPositions: x = 8.536779, z = 13.46623 
playerTransformPositions: x = 8.539762, z = 13.44193 
playerTransformPositions: x = 8.543322, z = 13.41295 
playerTransformPositions: x = 8.547374, z = 13.37994 
playerTransformPositions: x = 8.550705, z = 13.35281 
playerTransformPositions: x = 8.55463, z = 13.32085 
playerTransformPositions: x = 8.557407, z = 13.29823 
playerTransformPositions: x = 8.561312, z = 13.26643 
playerTransformPositions: x = 8.563995, z = 13.24457 
playerTransformPositions: x = 8.568421, z = 13.20853 
playerTransformPositions: x = 8.571581, z = 13.1828 
playerTransformPositions: x = 8.575299, z = 13.15252 
playerTransformPositions: x = 8.577969, z = 13.13078 
playerTransformPositions: x = 8.582813, z = 13.09133 
playerTransformPositions: x = 8.586587, z = 13.06059 
playerTransformPositions: x = 8.589374, z = 13.03789 
playerTransformPositions: x = 8.592477, z = 13.01262 
playerTransformPositions: x = 8.596191, z = 12.98237 
playerTransformPositions: x = 8.599073, z = 12.95889 
playerTransformPositions: x = 8.603765, z = 12.92068 
playerTransformPositions: x = 8.606164, z = 12.90114 
playerTransformPositions: x = 8.609483, z = 12.87411 
playerTransformPositions: x = 8.609482, z = 12.87411 
playerTransformPositions: x = 8.642375, z = 12.86082 
playerTransformPositions: x = 8.662023, z = 12.85288 
playerTransformPositions: x = 8.695962, z = 12.83917 
playerTransformPositions: x = 8.722322, z = 12.82852 
playerTransformPositions: x = 8.744781, z = 12.81945 
playerTransformPositions: x = 8.767064, z = 12.81044 
playerTransformPositions: x = 8.79482, z = 12.79923 
playerTransformPositions: x = 8.826597, z = 12.78639 
playerTransformPositions: x = 8.850849, z = 12.77659 
playerTransformPositions: x = 8.881966, z = 12.76402 
playerTransformPositions: x = 8.909059, z = 12.75307 
playerTransformPositions: x = 8.932954, z = 12.74342 
playerTransformPositions: x = 8.958467, z = 12.73311 
playerTransformPositions: x = 8.984055, z = 12.72278 
playerTransformPositions: x = 9.013896, z = 12.71072 
playerTransformPositions: x = 9.034669, z = 12.70233 
playerTransformPositions: x = 9.060937, z = 12.69171 
playerTransformPositions: x = 9.089914, z = 12.68001 
playerTransformPositions: x = 9.110456, z = 12.67171 
playerTransformPositions: x = 9.138714, z = 12.66029 
playerTransformPositions: x = 9.168334, z = 12.64832 
playerTransformPositions: x = 9.187457, z = 12.6406 
playerTransformPositions: x = 9.212103, z = 12.63064 
playerTransformPositions: x = 9.24229, z = 12.61844 
playerTransformPositions: x = 9.268536, z = 12.60784 
playerTransformPositions: x = 9.288061, z = 12.59995 
playerTransformPositions: x = 9.320564, z = 12.58682 
playerTransformPositions: x = 9.342954, z = 12.57777 
playerTransformPositions: x = 9.371789, z = 12.56612 
playerTransformPositions: x = 9.395652, z = 12.55648 
playerTransformPositions: x = 9.417566, z = 12.54763 
playerTransformPositions: x = 9.446247, z = 12.53604 
playerTransformPositions: x = 9.478618, z = 12.52296 
playerTransformPositions: x = 9.49872, z = 12.51484 
playerTransformPositions: x = 9.525155, z = 12.50416 
playerTransformPositions: x = 9.554224, z = 12.49241 
playerTransformPositions: x = 9.580005, z = 12.482 
playerTransformPositions: x = 9.599152, z = 12.47426 
playerTransformPositions: x = 9.6312, z = 12.46132 
playerTransformPositions: x = 9.651598, z = 12.45307 
playerTransformPositions: x = 9.682241, z = 12.44069 
playerTransformPositions: x = 9.707802, z = 12.43037 
playerTransformPositions: x = 9.733494, z = 12.41999 
playerTransformPositions: x = 9.755173, z = 12.41123 
playerTransformPositions: x = 9.782833, z = 12.40005 
playerTransformPositions: x = 9.809211, z = 12.38939 
playerTransformPositions: x = 9.830354, z = 12.38085 
playerTransformPositions: x = 9.862778, z = 12.36775 
playerTransformPositions: x = 9.882178, z = 12.35991 
playerTransformPositions: x = 9.908521, z = 12.34927 
playerTransformPositions: x = 9.94249, z = 12.33555 
playerTransformPositions: x = 9.9623, z = 12.32754 
playerTransformPositions: x = 9.99097, z = 12.31596 
playerTransformPositions: x = 10.01892, z = 12.30467 
playerTransformPositions: x = 10.04522, z = 12.29404 
playerTransformPositions: x = 10.07357, z = 12.28258 
playerTransformPositions: x = 10.09951, z = 12.2721 
playerTransformPositions: x = 10.12239, z = 12.26286 
playerTransformPositions: x = 10.14811, z = 12.25247 
playerTransformPositions: x = 10.17648, z = 12.24101 
playerTransformPositions: x = 10.20453, z = 12.22967 
playerTransformPositions: x = 10.22056, z = 12.2232 
playerTransformPositions: x = 10.24644, z = 12.21274 
playerTransformPositions: x = 10.27694, z = 12.20042 
playerTransformPositions: x = 10.30267, z = 12.19002 
playerTransformPositions: x = 10.3296, z = 12.17914 
playerTransformPositions: x = 10.35638, z = 12.16832 
playerTransformPositions: x = 10.38518, z = 12.15669 
playerTransformPositions: x = 10.40789, z = 12.14751 
playerTransformPositions: x = 10.43662, z = 12.1359 
playerTransformPositions: x = 10.46242, z = 12.12548 
playerTransformPositions: x = 10.48983, z = 12.11441 
playerTransformPositions: x = 0.9857357, z = 0.7590301 
playerTransformPositions: x = 0.9732351, z = 0.7698966 
playerTransformPositions: x = 0.8832752, z = 0.8480976 
playerTransformPositions: x = 0.8016309, z = 0.9190699 
playerTransformPositions: x = 0.7831126, z = 0.9351675 
playerTransformPositions: x = 0.7699347, z = 0.9466229 
playerTransformPositions: x = 0.7489743, z = 0.9648436 
playerTransformPositions: x = 0.7325956, z = 0.9790813 
playerTransformPositions: x = 0.7157366, z = 0.9937366 
playerTransformPositions: x = 0.6993269, z = 1.008001 
playerTransformPositions: x = 0.6868235, z = 1.01887 
playerTransformPositions: x = 0.6743211, z = 1.029739 
playerTransformPositions: x = 0.6612154, z = 1.041131 
playerTransformPositions: x = 0.6487098, z = 1.052002 
playerTransformPositions: x = 0.6336657, z = 1.06508 
playerTransformPositions: x = 0.6211371, z = 1.075971 
playerTransformPositions: x = 0.6086559, z = 1.086821 
playerTransformPositions: x = 0.5961512, z = 1.097691 
playerTransformPositions: x = 0.583644, z = 1.108563 
playerTransformPositions: x = 0.5711467, z = 1.119427 
playerTransformPositions: x = 0.551667, z = 1.13636 
playerTransformPositions: x = 0.5391301, z = 1.147259 
playerTransformPositions: x = 0.5266573, z = 1.158101 
playerTransformPositions: x = 0.5115781, z = 1.171209 
playerTransformPositions: x = 0.4990079, z = 1.182137 
playerTransformPositions: x = 0.4865681, z = 1.19295 
playerTransformPositions: x = 0.4740711, z = 1.203814 
playerTransformPositions: x = 0.4615635, z = 1.214687 
playerTransformPositions: x = 0.4490653, z = 1.225551 
playerTransformPositions: x = 0.4365619, z = 1.23642 
playerTransformPositions: x = 0.4240598, z = 1.247288 
playerTransformPositions: x = 0.4065873, z = 1.262477 
playerTransformPositions: x = 0.3898755, z = 1.277004 
playerTransformPositions: x = 0.3773682, z = 1.287876 
playerTransformPositions: x = 0.3648697, z = 1.298741 
playerTransformPositions: x = 0.3523585, z = 1.309617 
playerTransformPositions: x = 0.3398612, z = 1.320481 
playerTransformPositions: x = 0.3273594, z = 1.331348 
playerTransformPositions: x = 0.3148463, z = 1.342226 
playerTransformPositions: x = 0.3023491, z = 1.35309 
playerTransformPositions: x = 0.2898447, z = 1.363959 
playerTransformPositions: x = 0.2767978, z = 1.375301 
playerTransformPositions: x = 0.264246, z = 1.386212 
playerTransformPositions: x = 0.2517671, z = 1.39706 
playerTransformPositions: x = 0.2392788, z = 1.407916 
playerTransformPositions: x = 0.2267819, z = 1.418779 
playerTransformPositions: x = 0.2142785, z = 1.429648 
playerTransformPositions: x = 0.2017748, z = 1.440517 
playerTransformPositions: x = 0.1892733, z = 1.451385 
playerTransformPositions: x = 0.1767686, z = 1.462255 
playerTransformPositions: x = 0.1615338, z = 1.475498 
playerTransformPositions: x = 0.1490007, z = 1.486393 
playerTransformPositions: x = 0.1732854, z = 1.510678 
playerTransformPositions: x = 0.1850031, z = 1.522396 
playerTransformPositions: x = 0.1967393, z = 1.534132 
playerTransformPositions: x = 0.2084335, z = 1.545826 
playerTransformPositions: x = 0.2201459, z = 1.557538 
playerTransformPositions: x = 0.23186, z = 1.569252 
playerTransformPositions: x = 0.243596, z = 1.580988 
playerTransformPositions: x = 0.2553077, z = 1.5927 
playerTransformPositions: x = 0.2676154, z = 1.605008 
playerTransformPositions: x = 0.2793447, z = 1.616737 
playerTransformPositions: x = 0.2910652, z = 1.628458 
playerTransformPositions: x = 0.3027622, z = 1.640154 
playerTransformPositions: x = 0.3144908, z = 1.651883 
playerTransformPositions: x = 0.3261911, z = 1.663583 
playerTransformPositions: x = 0.3379146, z = 1.675307 
playerTransformPositions: x = 0.3496454, z = 1.687038 
playerTransformPositions: x = 0.3613335, z = 1.698726 
playerTransformPositions: x = 0.3730489, z = 1.710441 
playerTransformPositions: x = 0.3854994, z = 1.722892 
playerTransformPositions: x = 0.3972168, z = 1.734609 
playerTransformPositions: x = 0.4089482, z = 1.74634 
playerTransformPositions: x = 0.4206624, z = 1.758054 
playerTransformPositions: x = 0.4323741, z = 1.769766 
